Job_Title,Company_Name,Location,Date,Job_Description,Estimated_Salary
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",30+ days ago,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
"Head of Data Science, Search",Wayfair,"Boston, MA",30+ days ago,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",4 days ago,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Scientist,"Computer Enterprises, Inc. (CEI)",,3 days ago,Bachelor’s degree- in engineering/ computer science.A client of CEI is in need of a Data Scientist for a role located in Downtown Pittsburgh.,$60 - $70 an hour
Artificial Intelligence (AI) Associate - Data Scientist,Penn State University,,Today,"Specifically, the Data Scientist will research state-of-the-art algorithms in machine learning to identify viable project approaches, design prototypes that…",
Mopar Data Scientist,FCA,,17 days ago,"Master's degree in quantitative field, such as Statistics, Economics, Mathematics, Computer Science, Data Science, Operation Research.",
Data Scientist,Search Discovery,,3 days ago,"Serve as a career guide to members of the team who wish to develop talent in data science, via ongoing technical training and code review.",
Data Science Engineer,The American College of Radiology,,3 days ago,We seek a Data Science Engineer to work with the Data Science Institute (DSI) team within the Informatics department.Perform complex data analytics tasks.,
Data Science Intern,Danfoss,,Today,"Basic, practical understanding of data structures, statistics, and computer science.Work with Danfoss to develop cutting edge data science solutions to real…",
Data Science Specialist,"Dedicated Tech Services, Inc.",,Today,Technical degree in Computer Science or another field relevant to Data Science.1+ years of experience with a Data Science programming language such as Python…,
Intermediate Data Science Analyst,Gateway,,4 days ago,"Identifies, cleanses, and integrates disparate data sources.Ensures the accurate and effective use of financial and operational data that may be relied upon by…",
Data Scientist,mindsysinc,,4 days ago,"Involved in entire data science project life cycle, including Data Acquisition, Data Cleansing, Data Manipulation, Feature Engineering, Modelling, Evaluation,…",
